Distance	PosnConf	NumUserInput	isPeak
4500.0	0.03361191367437356	352	false	
4600.0	0.13803863527220206	352	false	
4700.0	0.2316472351996315	352	false	
4800.0	0.33079811853594626	355	false	
4900.0	0.4308217944912316	355	false	
5000.0	0.5165460562498002	355	false	
5100.0	0.5899252282034896	355	false	
5200.0	0.6526583781294459	156	false	
5300.0	0.9307582185964633	156	false	
5400.0	0.934099054508945	156	false	
5500.0	0.9373306631731241	156	false	
5600.0	0.9692500698324781	156	false	
5700.0	0.9980825048136601	156	false	
5800.0	0.9980825048136601	156	false	
5900.0	0.9980825048136601	156	false	
6000.0	0.9996422166416159	156	false	
6100.0	0.9999598665192977	156	false	
6200.0	0.9999598665192977	156	false	
6300.0	0.9999887251120869	156	false	
6400.0	0.9999996769381682	156	false	
6500.0	0.9999996769381682	156	false	
6600.0	0.9999998238298764	156	false	
6700.0	1.0	156	true	
6800.0	1.0	156	true	
6900.0	0.9999944096350253	156	false	
7000.0	0.9999552770802019	156	false	
7100.0	0.9999552770802019	156	false	
7200.0	0.9996422166416159	156	false	
7300.0	0.9942624037005207	156	false	
7400.0	0.9942624037005207	156	false	
7500.0	0.9942624037005207	156	false	
7600.0	0.9692500698324781	156	false	
7700.0	0.8598811147313333	156	false	
7800.0	0.84226492139522	156	false	
7900.0	0.8225523751526315	156	false	
8000.0	0.5934269495919204	156	false	
8100.0	0.5196551267559637	156	false	
8200.0	0.43332602913636764	156	false	
8300.0	0.33243229203486474	156	false	
8400.0	0.2146648483090542	156	false	
8500.0	0.08125048828128872	3	false	
8600.0	0.0494944804687899	3	false	
8700.0	0.016748753906291235	3	false	
21700.0	0.010650220214864824	283	false	
21800.0	0.11129480808823225	283	false	
21900.0	0.20200628968321493	283	false	
22000.0	0.29654131940357603	287	false	
22100.0	0.40602426461195334	113	false	
22200.0	0.49913432286920206	113	false	
22300.0	0.5782239702995424	766	false	
22400.0	0.6453209555396389	766	false	
22500.0	0.9221782810676336	766	false	
22600.0	0.9271282051315235	766	false	
22700.0	0.931838154094117	766	false	
22800.0	0.973974576339209	766	false	
22900.0	0.9976614225052163	766	false	
23000.0	0.9976614225052163	766	false	
23100.0	0.9976614225052163	766	false	
23200.0	0.9997506556273783	766	false	
23300.0	0.9999561134150814	766	false	
23400.0	0.9999561134150814	766	false	
23500.0	0.9999824605548453	766	false	
23600.0	0.9999995785232931	766	false	
23700.0	0.9999995785232931	766	false	
23800.0	0.9999999314865423	766	false	
23900.0	1.0	766	true	
24000.0	1.0	766	true	
24100.0	0.9999990259985444	766	false	
24200.0	0.9999844159767112	766	false	
24300.0	0.9999844159767112	766	false	
24400.0	0.9997506556273783	766	false	
24500.0	0.9972251110132601	766	false	
24600.0	0.9972251110132601	766	false	
24700.0	0.9972251110132601	766	false	
24800.0	0.973974576339209	766	false	
24900.0	0.8981794526701017	766	false	
25000.0	0.8863448398157664	766	false	
25100.0	0.8731859979309791	766	false	
25200.0	0.6394458549324005	766	false	
25300.0	0.5700522813930424	766	false	
25400.0	0.4880741584504961	766	false	
25500.0	0.3913578033837787	766	false	
25600.0	0.2774012040073973	766	false	
25700.0	0.15242153008005688	657	false	
25800.0	0.09816440267506271	657	false	
25900.0	0.04134311834506854	657	false	
45000.0	0.13332323380102498	249	false	
45100.0	0.2944566540922394	105	false	
45200.0	0.4265156254081206	105	false	
45300.0	0.5768285013859207	112	false	
45400.0	0.691997409211849	112	false	
45500.0	0.776562947492975	248	false	
45600.0	0.8384599045299943	248	false	
45700.0	0.8836169974524644	248	false	
45800.0	0.9937315086468489	248	false	
45900.0	0.9944189183335268	248	false	
46000.0	0.9950406753797433	248	false	
46100.0	0.9990124647645423	248	false	
46200.0	0.9999956245946079	248	false	
46300.0	0.9999956245946079	248	false	
46400.0	0.9999956245946079	248	false	
46500.0	0.9999999129533711	248	false	
46600.0	0.9999999991506513	248	false	
46700.0	0.9999999991506513	248	false	
46800.0	0.9999999999526882	248	false	
46900.0	0.9999999999999898	248	false	
47000.0	0.9999999999999898	248	false	
47100.0	0.9999999999999971	248	false	
47200.0	1.0	248	true	
47300.0	1.0	248	true	
47400.0	0.9999999999946871	248	false	
47500.0	0.9999999993199482	248	false	
47600.0	0.9999999993199482	248	false	
47700.0	0.9999999129533711	248	false	
47800.0	0.9999803534517351	248	false	
47900.0	0.9999803534517351	248	false	
48000.0	0.9999803534517351	248	false	
48100.0	0.9990124647645423	248	false	
48200.0	0.9821690359648869	248	false	
48300.0	0.9778974874284433	248	false	
48400.0	0.9726491477538509	248	false	
48500.0	0.8134676879608119	248	false	
48600.0	0.7414955227180396	248	false	
48700.0	0.643005226053259	248	false	
48800.0	0.5086663715876861	248	false	
48900.0	0.32601342482918844	248	false	
49000.0	0.20072289050176095	143	false	
49100.0	0.1099374057147141	143	false	
49200.0	0.010452867948214508	143	false	
68800.0	0.05571919190537909	217	false	
68900.0	0.13017119730620505	52	false	
69000.0	0.1989663257206241	52	false	
69100.0	0.3474330973926187	61	false	
69200.0	0.47673761836899603	61	false	
69300.0	0.581434216412102	244	false	
69400.0	0.6660147537405849	244	false	
69500.0	0.7341856825542386	244	false	
69600.0	0.9199887469747376	244	false	
69700.0	0.9310881895336465	244	false	
69800.0	0.9407972521575446	244	false	
69900.0	0.9925659859940008	244	false	
70000.0	0.9987900352983525	244	false	
70100.0	0.9987900352983525	244	false	
70200.0	0.9987900352983525	244	false	
70300.0	0.9999921398603414	244	false	
70400.0	0.9999978380575938	244	false	
70500.0	0.9999978380575938	244	false	
70600.0	0.9999988968267802	244	false	
70700.0	0.9999999989223568	244	false	
70800.0	0.9999999989223568	244	false	
70900.0	0.9999999999957917	244	false	
71000.0	1.0	244	true	
71100.0	1.0	244	true	
71200.0	0.999999999970016	244	false	
71300.0	0.9999999846481648	244	false	
71400.0	0.9999999846481648	244	false	
71500.0	0.9999921398603414	244	false	
71600.0	0.9999517073611885	244	false	
71700.0	0.9999517073611885	244	false	
71800.0	0.9999517073611885	244	false	
71900.0	0.9925659859940008	244	false	
72000.0	0.97794960742244	244	false	
72100.0	0.9760258657688082	244	false	
72200.0	0.9739414827115317	244	false	
72300.0	0.7453133283514842	244	false	
72400.0	0.6785973323470328	244	false	
72500.0	0.5955079328564641	244	false	
72600.0	0.4922814224453554	244	false	
72700.0	0.36434391028721597	244	false	
72800.0	0.25028426568827394	192	false	
72900.0	0.13906715178486098	192	false	
73000.0	0.01341928286335286	192	false	
93100.0	0.018824467216273608	37	false	
93200.0	0.18931142309572574	37	false	
93300.0	0.3311976315105486	37	false	
93400.0	0.4491110989244946	37	false	
