Distance	PosnConf	NumUserInput	isPeak
0.0	0.051002243680564746	211	false	
100.0	0.051002243680564746	211	false	
200.0	0.051002243680564746	227	false	
300.0	0.051002243680564746	227	false	
400.0	0.06771065543028917	255	false	
500.0	0.06771065543028917	269	false	
600.0	0.07601004827818941	322	false	
700.0	0.08427289910811502	322	true	
800.0	0.08427289910811502	322	true	
900.0	0.07601004827818941	322	false	
1000.0	0.06771065543028917	322	false	
1100.0	0.06771065543028917	340	false	
1200.0	0.051002243680564746	348	false	
1300.0	0.051002243680564746	348	false	
1400.0	0.051002243680564746	348	false	
1500.0	0.051002243680564746	348	false	
1600.0	0.025665560921168274	362	false	
1700.0	0.025665560921168274	362	false	
1800.0	0.025665560921168274	409	false	
1900.0	0.025665560921168274	429	false	
2000.0	0.010048688806540983	457	false	
2100.0	0.008763190832884175	457	false	
2200.0	0.0074768706638229385	457	false	
2300.0	0.006189728299357272	434	false	
2400.0	0.004901763739487179	366	false	
2500.0	0.003612976984212653	377	false	
2600.0	0.002323368033533697	408	false	
2700.0	0.0010329368874503141	422	false	
20400.0	0.0011533907854011337	447	false	
20500.0	0.003074389939053385	500	false	
20600.0	0.004993740595945674	482	false	
20700.0	0.006911442756078004	482	false	
20800.0	0.008827496419450373	482	false	
20900.0	0.010741901586062783	482	false	
21000.0	0.012654658255915233	470	false	
21100.0	0.014565766429007726	521	false	
21200.0	0.038126550650025556	452	false	
21300.0	0.038126550650025556	452	false	
21400.0	0.038126550650025556	452	false	
21500.0	0.038126550650025556	452	false	
21600.0	0.07559370259606721	479	false	
21700.0	0.07559370259606721	467	false	
21800.0	0.07559370259606721	467	false	
21900.0	0.07559370259606721	534	false	
22000.0	0.10020547128010393	452	false	
22100.0	0.10020547128010393	452	false	
22200.0	0.11240145583812494	452	false	
22300.0	0.12452417387348111	452	true	
22400.0	0.12452417387348111	440	true	
22500.0	0.11240145583812494	470	false	
22600.0	0.10020547128010393	411	false	
22700.0	0.10020547128010393	411	false	
22800.0	0.07559370259606721	411	false	
22900.0	0.07559370259606721	411	false	
23000.0	0.07559370259606721	452	false	
23100.0	0.07559370259606721	417	false	
23200.0	0.038126550650025556	417	false	
23300.0	0.038126550650025556	417	false	
23400.0	0.038126550650025556	417	false	
23500.0	0.038126550650025556	401	false	
23600.0	0.014183676644787535	444	false	
23700.0	0.012272238772317713	382	false	
23800.0	0.010359152403087928	382	false	
23900.0	0.008444417537098185	382	false	
24000.0	0.006528034174348484	359	false	
24100.0	0.004610002314838821	352	false	
24200.0	0.0026903219585691983	392	false	
24300.0	7.689931055396176E-4	392	false	
38700.0	7.77100996981287E-4	276	false	
38800.0	0.004657667365459455	276	false	
38900.0	0.008530006925742848	276	false	
39000.0	0.012394125093198455	276	false	
39100.0	0.01625002728319322	253	false	
39200.0	0.0200977189110941	253	false	
39300.0	0.023937205392268075	270	false	
39400.0	0.027768492142082084	270	false	
39500.0	0.07608712177786153	270	false	
39600.0	0.07608712177786153	226	false	
39700.0	0.07608712177786153	226	false	
39800.0	0.07608712177786153	291	false	
39900.0	0.14892424383735017	291	false	
40000.0	0.14892424383735017	291	false	
40100.0	0.14892424383735017	291	false	
40200.0	0.14892424383735017	252	false	
40300.0	0.19569816385356242	252	false	
40400.0	0.19569816385356242	282	false	
40500.0	0.2185546891141556	282	false	
40600.0	0.24105973061397168	282	true	
40700.0	0.24105973061397168	282	true	
40800.0	0.2185546891141556	249	false	
40900.0	0.19569816385356242	249	false	
41000.0	0.19569816385356242	323	false	
41100.0	0.14892424383735017	323	false	
41200.0	0.14892424383735017	383	false	
41300.0	0.14892424383735017	342	false	
41400.0	0.14892424383735017	342	false	
41500.0	0.07608712177786153	342	false	
41600.0	0.07608712177786153	342	false	
41700.0	0.07608712177786153	342	false	
41800.0	0.07608712177786153	364	false	
41900.0	0.030063330515190848	326	false	
42000.0	0.026236961004691247	326	false	
42100.0	0.02240239501205179	326	false	
42200.0	0.018559627121905505	286	false	
42300.0	0.014708651918885441	286	false	
42400.0	0.010849463987624625	345	false	
42500.0	0.006982057912756102	345	false	
42600.0	0.003106428278912926	345	false	
62500.0	9.817500378397139E-5	330	false	
62600.0	5.890500038344228E-4	306	false	
62700.0	0.0010799250038848762	306	false	
62800.0	0.0015708000039353295	306	false	
62900.0	0.002061675003985783	306	false	
63000.0	0.002552550004036235	306	false	
63100.0	0.0030434250040866887	320	false	
63200.0	0.003534300004137141	272	false	
63300.0	0.009817500001009057	272	false	
63400.0	0.009817500001009057	272	false	
63500.0	0.009817500001009057	272	false	
63600.0	0.009817500001009057	342	false	
63700.0	0.019635000002018115	302	false	
63800.0	0.019635000002018115	302	false	
63900.0	0.019635000002018115	302	false	
64000.0	0.019635000002018115	302	false	
64100.0	0.02618000000269082	302	false	
64200.0	0.02618000000269082	326	false	
64300.0	0.029452500003027175	292	false	
64400.0	0.03272500000336352	292	true	
64500.0	0.03272500000336352	292	true	
64600.0	0.029452500003027175	292	false	
64700.0	0.02618000000269082	292	false	
64800.0	0.02618000000269082	327	false	
64900.0	0.019635000002018115	327	false	
65000.0	0.019635000002018115	327	false	
65100.0	0.019635000002018115	327	false	
65200.0	0.019635000002018115	327	false	
65300.0	0.009817500001009057	415	false	
65400.0	0.009817500001009057	369	false	
65500.0	0.009817500001009057	369	false	
65600.0	0.009817500001009057	369	false	
65700.0	0.0038288249966196525	369	false	
65800.0	0.003337949996569199	369	false	
65900.0	0.0028470749965187466	391	false	
66000.0	0.0023561999964682935	348	false	
66100.0	0.001865324996417841	348	false	
66200.0	0.0013744499963673868	348	false	
66300.0	8.835749963169334E-4	348	false	
66400.0	3.9269999626648195E-4	424	false	
