NumUsr,AvgError,SD
2500,493.30876601585874,742.109955224836
3000,523.6124391060416,808.3420259475124
3500,540.2691658078876,823.7953190419103
4000,546.5233346626303,840.5640379687894
4500,575.6961336879534,894.0745987718083
5000,574.6047219655999,892.24592728684
5500,573.926493818033,894.8092311956699
6000,582.6282458120367,911.4900040609585
6500,582.3247345404956,907.3366994823306
7000,591.6068460483466,927.4105275956891
7500,596.8812265082038,935.912541478026
8000,607.3596866772892,956.0115679956052
8500,610.4476208344819,961.3924135978035
9000,610.6699070527667,959.8351713160083
9500,613.0702545183917,965.6689082608324
