Churchgate ,0
Marine Lines ,1300
Charni Road ,910
Grant Road ,1380
Mumbai Central ,890
Mahalaxmi ,1470
Lower Parel ,1720
Elphinstone Road ,1310
Dadar ,1190
Matunga Road ,1580
Mahim ,1180
Bandra ,1730
Khar Road ,1630
Santacruz ,1320
Vile Parle ,2060
Andheri ,2160
Jogeshwari ,1690
Goregaon ,3380
Malad ,2420
Kandivali ,1900
Borivali ,2760
Dahisar ,2360
Mira Road ,3420
Bhayandar ,3350
Naigaon ,4680
Vasai ,3990
Nalasopara ,4070
Virar ,4130
Vaitarna ,8440
Saphale ,8320
Kelve Road ,5810
Palghar ,8370
Umroli ,6220
Boisar ,5720
Vangaon ,8720
Dahanu Road ,12200
